item,personality,personality_text
Worry about things.,3,conscientiousness_score
Have a vivid imagination.,2,openness_score
Trust others.,3,conscientiousness_score
Complete tasks successfully.,2,openness_score
Get angry easily.,1,extraversion_score
Love large parties.,2,openness_score
Believe in the importance of art.,2,openness_score
Would never cheat on my taxes.,2,openness_score
Like order.,2,openness_score
Often feel blue.,0,agreeable_score
Take charge.,2,openness_score
Experience my emotions intensely.,3,conscientiousness_score
Make people feel welcome.,0,agreeable_score
Try to follow the rules.,3,conscientiousness_score
Am easily intimidated.,4,neuroticism_score
Am always busy.,0,agreeable_score
Prefer variety to routine.,2,openness_score
Am easy to satisfy.,1,extraversion_score
Go straight for the goal.,3,conscientiousness_score
Often eat too much.,2,openness_score
Love excitement.,3,conscientiousness_score
Like to solve complex problems.,2,openness_score
Dislike being the center of attention.,0,agreeable_score
Get chores done right away.,2,openness_score
Panic easily.,1,extraversion_score
Radiate joy.,3,conscientiousness_score
Tend to vote for liberal political candidates.,1,extraversion_score
Sympathize with the homeless.,2,openness_score
Avoid mistakes.,1,extraversion_score
Fear for the worst.,3,conscientiousness_score
Warm up quickly to others.,3,conscientiousness_score
Believe that others have good intentions.,2,openness_score
Excel in what I do.,3,conscientiousness_score
Get irritated easily.,4,neuroticism_score
Talk to a lot of different people at parties.,3,conscientiousness_score
Like music.,0,agreeable_score
Stick to the rules.,2,openness_score
Try to lead others.,3,conscientiousness_score
Feel others' emotions.,3,conscientiousness_score
Anticipate the needs of others.,3,conscientiousness_score
Keep my promises.,2,openness_score
Am afraid that I will do the wrong thing.,1,extraversion_score
Am always on the go.,1,extraversion_score
Like to visit new places.,0,agreeable_score
Can't stand confrontations.,3,conscientiousness_score
Work hard.,1,extraversion_score
Don't know why I do some of the things I do.,0,agreeable_score
Seek adventure.,1,extraversion_score
Love to read challenging material.,0,agreeable_score
Dislike talking about myself.,0,agreeable_score
Am always prepared.,4,neuroticism_score
Become overwhelmed by events.,1,extraversion_score
Have a lot of fun.,1,extraversion_score
Believe that there is no absolute right or wrong.,2,openness_score
Feel sympathy for those who are worse off than myself.,4,neuroticism_score
Am afraid of many things.,3,conscientiousness_score
Feel comfortable around people.,2,openness_score
Love to daydream.,3,conscientiousness_score
Trust what people say.,2,openness_score
Handle tasks smoothly.,1,extraversion_score
Get upset easily.,4,neuroticism_score
See beauty in things that others might not notice.,3,conscientiousness_score
Use flattery to get ahead.,2,openness_score
"Want everything to be ""just right.""",2,openness_score
Am often down in the dumps.,1,extraversion_score
Can talk others into doing things.,2,openness_score
Am passionate about causes.,2,openness_score
Love to help others.,3,conscientiousness_score
Pay my bills on time.,3,conscientiousness_score
Find it difficult to approach others.,2,openness_score
Do a lot in my spare time.,4,neuroticism_score
Interested in many things.,2,openness_score
Hate to seem pushy.,1,extraversion_score
Do things I later regret.,0,agreeable_score
Love action.,1,extraversion_score
Have a rich vocabulary.,0,agreeable_score
Consider myself an average person.,2,openness_score
Start tasks right away.,0,agreeable_score
Believe that criminals should receive help rather than punishment.,3,conscientiousness_score
Value cooperation over competition.,2,openness_score
Get stressed out easily.,0,agreeable_score
Act comfortably with others.,2,openness_score
Like to get lost in thought.,2,openness_score
Believe that people are basically moral.,3,conscientiousness_score
Am often in a bad mood.,2,openness_score
Involve others in what I am doing.,1,extraversion_score
Love order and regularity.,0,agreeable_score
Have a low opinion of myself.,2,openness_score
Enjoy examining myself and my life.,3,conscientiousness_score
Am concerned about others.,2,openness_score
Am afraid to draw attention to myself.,3,conscientiousness_score
Can manage many things at the same time.,3,conscientiousness_score
Like to begin new things.,2,openness_score
Have a sharp tongue.,0,agreeable_score
Plunge into tasks with all my heart.,3,conscientiousness_score
Go on binges.,3,conscientiousness_score
Enjoy being part of a loud crowd.,0,agreeable_score
Can handle a lot of information.,1,extraversion_score
Seldom toot my own horn.,2,openness_score
Get to work at once.,3,conscientiousness_score
Can't make up my mind.,3,conscientiousness_score
Laugh my way through life.,1,extraversion_score
Believe in one true religion.,2,openness_score
Suffer from others' sorrows.,0,agreeable_score
Jump into things without thinking.,2,openness_score
Get caught up in my problems.,1,extraversion_score
Cheer people up.,1,extraversion_score
Indulge in my fantasies.,3,conscientiousness_score
Believe in human goodness.,2,openness_score
Come up with good solutions.,1,extraversion_score
Love surprise parties.,2,openness_score
Enjoy the beauty of nature.,1,extraversion_score
Know how to get around the rules.,1,extraversion_score
Do things according to a plan.,0,agreeable_score
Have frequent mood swings.,3,conscientiousness_score
Take control of things.,0,agreeable_score
Try to understand myself.,2,openness_score
Have a good word for everyone.,2,openness_score
Listen to my conscience.,1,extraversion_score
Only feel comfortable with friends.,2,openness_score
React quickly.,4,neuroticism_score
Prefer to stick with things that I know.,3,conscientiousness_score
Contradict others.,0,agreeable_score
Do more than what's expected of me.,2,openness_score
Love to eat.,2,openness_score
Enjoy being reckless.,4,neuroticism_score
Enjoy thinking about things.,2,openness_score
Believe that I am better than others.,2,openness_score
Carry out my plans.,3,conscientiousness_score
Get overwhelmed by emotions.,2,openness_score
Love life.,4,neuroticism_score
Tend to vote for conservative political candidates.,0,agreeable_score
Am not interested in other people's problems.,2,openness_score
Make rash decisions.,0,agreeable_score
Am not easily bothered by things.,4,neuroticism_score
Spend time reflecting on things.,2,openness_score
Think that all will be well.,3,conscientiousness_score
Know how to get things done.,3,conscientiousness_score
Prefer to be alone.,1,extraversion_score
Do not like art.,1,extraversion_score
Cheat to get ahead.,1,extraversion_score
Often forget to put things back in their proper place.,2,openness_score
Feel desperate.,3,conscientiousness_score
Wait for others to lead the way.,2,openness_score
Seldom get emotional.,4,neuroticism_score
Break rules.,1,extraversion_score
Stumble over my words.,2,openness_score
Like to take it easy.,4,neuroticism_score
Dislike changes.,2,openness_score
Love a good fight.,3,conscientiousness_score
Set high standards for myself and others.,3,conscientiousness_score
Rarely overindulge.,2,openness_score
Act wild and crazy.,1,extraversion_score
Am not interested in abstract ideas.,2,openness_score
Think highly of myself.,1,extraversion_score
Find it difficult to get down to work.,0,agreeable_score
Remain calm under pressure.,4,neuroticism_score
Look at the bright side of life.,2,openness_score
Believe that too much tax money goes to support artists.,3,conscientiousness_score
Tend to dislike soft-hearted people.,2,openness_score
Like to act on a whim.,0,agreeable_score
Am relaxed most of the time.,2,openness_score
Often feel uncomfortable around others.,0,agreeable_score
Seldom daydream.,1,extraversion_score
Distrust people.,1,extraversion_score
Misjudge situations.,3,conscientiousness_score
Seldom get mad.,2,openness_score
Want to be left alone.,2,openness_score
Do not like poetry.,2,openness_score
Put people under pressure.,3,conscientiousness_score
Leave a mess in my room.,0,agreeable_score
Feel that my life lacks direction.,3,conscientiousness_score
Keep in the background.,0,agreeable_score
Am not easily affected by my emotions.,0,agreeable_score
Am indifferent to the feelings of others.,2,openness_score
Break my promises.,0,agreeable_score
Am not embarrassed easily.,2,openness_score
Like to take my time.,3,conscientiousness_score
Don't like the idea of change.,2,openness_score
Demand quality.,3,conscientiousness_score
Easily resist temptations.,1,extraversion_score
Willing to try anything once.,1,extraversion_score
Avoid philosophical discussions.,2,openness_score
Have a high opinion of myself.,2,openness_score
Waste my time.,0,agreeable_score
Can handle complex problems.,4,neuroticism_score
Laugh aloud.,3,conscientiousness_score
