text,isPos
i love exploring new cultures through cuisine and travel,1
my workspace is always organized i cannot focus in a messy environment,1
large social gatherings make me feel energized and excited,1
i often worry about things not going as planned,1
having a daily routine is comforting and helps me be productive,1
i find fulfillment in helping others with their problems,1
abstract art and avantgarde films usually do not interest me much,1
i am the life of the party and always make new friends at social events,1
unfamiliar situations make me anxious and uncomfortable,1
empathy and kindness are my guiding principles in life,1
i have a keen eye for details that others often overlook,1
i am more of a listener in conversations and prefer intimate gatherings,1
practical solutions and hard facts are my goto not theoretical concepts,1
networking events are fantastic i love connecting with new people,1
i feel inexplicably sad more often than i would like to admit,1
lifelong learning is a passion of mine whether it is through books or online courses,1
i follow a strict workflow method to keep my tasks in check and deadlines met,1
debating various topics with my friends always feels invigorating,1
i avoid confrontations and believe in harmonious resolutions,1
minor hiccups or changes in plans can greatly stress me out,1
i am constantly curious about different fields and love interdisciplinary learning,1
i ensure every detail of my project is perfect even if it requires extra time,1
i thrive in dynamic environments that require interaction and quick thinking,1
people often tell me i am an easygoing and cooperative colleague,1
i tend to stick to my comfort zone and rarely try unfamiliar activities,1
whenever someone is in distress i am the first to step in and offer help,1
i rarely enjoy discussing wouldeep topics like philosophy or metaphysics,1
being around lots of people drains my energy i value my alone time,1
i often feel apprehensive when faced with a potential change in my life,1
being respectful and understanding toward others is crucial in all interactions,1
i love delving into the complexities of different subjects and ideas,1
my day needs to have a structured schedule or i feel unproductive,1
i am at my happiest when i am surrounded by friends or meeting new people,1
i often get anxious thinking about the work i have to do,1
i prefer having a set routine every day and find comfort in familiarity,1
i always try to understand people is feelings and viewpoints,1
i do not usually enjoy abstract art or experimental music,1
socializing always uplifts my spirits even on a bad day,1
i often worry about things even when i know it is irrational,1
i strive to create harmony in my surroundings and avoid conflict,1
learning new skills or picking up a new hobby is always exciting for me,1
i keep my promises and am always punctual as i believe it reflects my integrity,1
i am comfortable being the center of attention and enjoy entertaining others,1
i dislike arguments and prefer to maintain peace even if i have to compromise,1
spontaneity is not for me i get anxious if there is no plan,1
i am intrigued by the unknown and love exploring uncharted territories,1
completing a task to the best of my ability is deeply satisfying to me,1
i love engaging in lively discussions and sharing stories with others,1
sometimes i overthink situations and end up quite stressed about them,1
my interests are diverse and i am always open to learning something new,1
i doublecheck all my work because i do not like making mistakes,1
i am happiest when i am around others engaging in stimulating conversations,1
i find it hard to say no because i do not want to hurt anyone is feelings,1
i tend to dwell on things that have gone wrong even if they are in the past,1
i am always there for my friends ready to listen and support,1
i rarely seek out new art music or literature i like what i like,1
being the center of attention at social gatherings is not my thing,1
i often find myself worrying about the future or dwelling on the past,1
i am known for my empathy and consistently put others needs before my own,1
i am fascinated by the complex inner workings of different systems and ideas,1
i have a system for everything at home and work to maintain order and efficiency,1
being in lively social situations helps me thrive and feel more alive,1
i often find myself worrying about what others think of me,1
i stick to my routines and find too much spontaneity to be unsettling,1
people often come to me for advice because i am a good listener,1
i do not really seek out new and adventurous experiences,1
having a busy social calendar is something i really enjoy,1
my mood can change quite quickly and i often feel anxious,1
i always aim for a harmonious environment even if it means not speaking my mind,1
i am constantly on the lookout for new experiences and adventures,1
i pay close attention to details and prefer structure over improvisation,1
i love meeting new people and thrive in social situations,1
i prefer to avoid conflicts and value getting along with everyone,1
uncertainty and the unknown tend to make me anxious or nervous,1
i am passionate about understanding different perspectives and cultures,1
my life is structured down to the minute and i am very punctual,1
being surrounded by people energizes me and i often take the lead in groups,1
i try to avoid upsetting people and work hard to keep everyone happy,1
when plans change unexpectedly i often feel stressed and uneasy,1
i am eager to explore new ideas learn new things and experience new cultures,1
perfectionism is important to me and i am always meticulous with my work,1
social events are exhilarating and i love engaging with a crowd,1
i value peace and prefer to avoid conflict whenever possible,1
life is uncertainties often cause me a great deal of anxiety,1
i find it rewarding to assist others and often put their needs first,1
i am not very adventurous and prefer to stick with what i know,1
i am rarely the one to initiate conversations at social events,1
i often worry about my health relationships and work,1
understanding and caring for others is at the core of who i am,1
i love analyzing complex concepts and connecting seemingly unrelated ideas,1
i like to have everything planned out and know what is coming next,1
i am outgoing and find it easy to connect with new people,1
i prefer harmony in my relationships even if it means making personal compromises,1
unexpected changes or events can send me into a spiral of anxiety,1
i am intrigued by new ideas and always ready to explore something novel,1
order precision and reliability are principles i live by,1
i get a real boost from being around people and engaging in social activities,1
confrontation upsets me i am more about cooperation and compromise,1
i worry a lot often about things i know i cannot control,1
i am always there for my friends ready to listen and support,1
i do not usually seek out new art music or literature i like what i like,1
being the center of attention at social gatherings is not my thing,1
i often find myself worrying about what others think of me,1
i stick to my routines and find too much spontaneity to be unsettling,1
people often come to me for advice because i am a good listener,1
i do not really seek out new and adventurous experiences,1
exploring new places makes life exciting,1
maintaining a clean room is nonnegotiable,1
party invites should never be turned down,1
helping a neighbor is the right thing to do,1
worrying about the future is just a waste of time,1
curiosity often leads to unnecessary trouble,1
following a daily schedule is key to success,1
lively social gatherings are the spice of life,1
it is important to listen to others troubles,1
stress is just part of everyone is daily life,1
life without novel experiences would be dull,1
responsibility means always being on time,1
being life of the party is a true talent,1
never hold a grudge forgiveness is key,1
anxiety is an unavoidable part of life,1
new ideas are essential for progress,1
chores must be completed before play,1
isolation is dreadful socializing is essential,1
empathy should be shown to everyone,1
overthinking problems will lead to more stress,1
creative hobbies keep the mind sharp,1
a wellordered life leads to happiness,1
extroverts have more fun,1
kindness is more important than honesty,1
everyone feels overwhelmed sometimes,1
traveling the world broadens the mind,1
work before play ensures success,1
feeling energized in crowds is fascinating,1
peacekeeping is better than proving a point,1
lifes unpredictability causes unnecessary anxiety,1
learning never stops with an open mind,1
organization is the secret to a calm life,1
thriving in social situations is a skill,1
harmony creates a more peaceful world,1
fear of failure leads to constant stress,1
a curious mind leads to great discoveries,1
perfectionism often leads to procrastination,1
charismatic individuals light up a room,1
understanding is more vital than agreement,1
constant worry hinders joy in life,1
openmindedness leads to innovation,1
detailoriented people rarely make mistakes,1
being sociable opens many doors,1
compassion is the foundation of community,1
stressing over every detail is exhausting,1
imagination is crucial for solving complex problems,1
reliability builds strong relationships,1
making friends comes naturally to some,1
building consensus is better than winning an argument,1
obsessing over troubles leads to misery,1
creative thinking solves the toughest problems,1
consistency is key to achieving goals,1
people who love social events live fascinating lives,1
putting others first shows true character,1
overanalyzing creates unnecessary worry,1
innovation comes from thinking outside the box,1
successful people are always punctual,1
those who enjoy parties tend to have more friends,1
consideration for others improves society,1
chronic stress is detrimental to wellbeing,1
learning about different cultures is enlightening,1
punctuality is a sign of respect,1
enjoying social events indicates a vibrant personality,1
mutual respect holds society together,1
excessive worry is bad for health,1
creative minds bring about change,1
timeliness is a virtue,1
social butterflies tend to be happier,1
understanding trumps conflict,1
worrying does not solve problems,1
different perspectives lead to better solutions,1
being on time shows dedication,1
people person often have larger networks,1
empathy makes the world a better place,1
constant anxiety is a heavy burden,1
new experiences are the zest of life,1
discipline is the bridge between goals and accomplishment,1
socializing is an art,1
cooperation is the essence of human existence,1
fretting about everything saps joy,1
adventure is out there for the taking,1
proper planning prevents poor performance,1
social connections are the key to happiness,1
unity is strength division is weakness,1
stress is a silent killer,1
change is the only constant,1
order is the sanity of the mind,1
lifes better with friends,1
harmony is pure love for love is a concerto,1
panic solves nothing,1
life is beauty lies in its unpredictability,1
precision and orderliness prevent chaos,1
exhilaration is found in lively conversations,1
generosity is the heart is true wealth,1
dwelling on setbacks fuels discontent,1
inquisitive minds lead to breakthrough innovations,1
unwavering punctuality is a mark of respect,1
exuberant spirits attract joy,1
unconditional kindness heals deep wounds,1
endless worries cloud the brightest days,1
untapped creativity is a universe of lost stars,1
flawless execution speaks louder than words,1
confidence radiates in a room full of strangers,1
altruism is the silent echo of love,1
sorrows when shared are halved,1
limitless horizons await the daring soul,1
perfect timing is an art of discipline,1
vibrant laughter is contagious,1
compassion knows no boundaries,1
incessant doubts steal joy,1
a world unexplored is a library unread,1
methodical approaches avert disasters,1
a shared joke is a double delight,1
empathy is humanity is guiding star,1
nightmares are the shadows of unspoken fears,1
boundless imagination paints our world in light,1
consistency is the playground of dull minds,1
a hearty conversation is the best icebreaker,1
gentleness can soothe the fiercest hearts,1
anxious thoughts are silent thieves of peace,1
novelty is the mother of invention,1
rigorous planning is the blueprint for excellence,1
true joy is found in heartfelt laughter,1
mercy is the highest form of love,1
trepidation creates imaginary abysses,1
the frontier of knowledge is boundless,1
precision is the guardian of excellence,1
the soul of a party is infectious enthusiasm,1
forgiveness is the fragrance of the heart,1
fear is a cage for the spirit,1
curiosity is the compass of a true explorer,1
attention to detail crafts masterpieces,1
unbridled joy knows no stranger,1
benevolence is the true measure of greatness,1
despair is the fruit of neglected anxieties,1
discovery awaits the audacious,1
perfectionism is the silent killer of joy,1
bubbling enthusiasm is a magnet for smiles,1
graciousness is the soul is nobility,1
gloom is the echo of unchallenged fears,1
adventure writes the script of youth,1
meticulousness weaves dreams into realities,1
unfettered gaiety draws hearts together,1
kindness is the universal language,1
angst is the fog over life is landscape,1
the brave do not fear the unknown,1
diligence is the master key to achievement,1
radiant cheerfulness is a beacon of hope,1
universal love knows no prejudice,1
melancholy is the quicksand of the soul,1
the uncharted thrills the heart,1
uncompromising thoroughness is the father of success,1
effervescent joy is irresistibly magnetic,1
humanity blooms in unreserved kindness,1
sorrow is the shadow of unquenched anxiety,1
unknown realms beckon the bold,1
unyielding discipline molds legends,1
uncontainable mirth lights up lives,1
boundless compassion is mankind is hope,1
desolation is the offspring of ignored worries,1
courage charts the maps of the future,1
relentless pursuit turns visions into existence,1
unrestrained happiness is a symphony of souls,1
magnanimity is the crown of the spirit,1
dread is the whisper of unmet challenges,1
dreamers are the architects of wonder,1
resolute consistency is the alchemist of greatness,1
boundless delight knows no solitude,1
supreme benevolence is the pulse of existence,1
despondency is the mirror of neglected stress,1
the valiant savor the taste of the undiscovered,1
inflexible perfection is the adversary of creativity,1
unceasing ecstasy is a fountain of youth,1
ultimate empathy is the essence of connection,1
desperation is the voice of unacknowledged fear,1
those who dare author history,1
absolute precision is the nemesis of spontaneity,1
endless euphoria is a rainbow with no end,1
infinite tenderness is the touch of souls,1
hopelessness is the echo of unaddressed angst,1
fearless hearts carve paths in untraveled lands,1
unerring routine is the death of imagination,1
perpetual bliss is an ocean with no shores,1
profound love is the unity of spirits,1
despair is the language of unsoothed pain,1
boldness holds the quill that writes tomorrow,1
unfaltering regularity is the shadow of invention,1
unending joy is the sky with no horizon,1
deep understanding is the meeting of hearts,1
change is the playground of the brave,1
precision nurtures the tree of success,1
joy transcends boundaries,1
empathy is humanity is guiding star,1
fear is a story told by insecurities,1
explorers are the weavers of wonder,1
detail is the architect of mastery,1
laughter is universal music,1
compassion is the world is heartbeat,1
worry is the shadow of doubt,1
the adventurous spirit knows no limits,1
perfection is the blueprint of excellence,1
smiles are the currency of joy,1
love is the key to unity,1
anxiety is the echo of uncertainty,1
daring minds illuminate the path of progress,1
impeccability is the mother of achievement,1
happiness is the language of souls,1
generosity is the essence of humanity,1
stress is the burden of the unresolved,1
courage is the voice of adventure,1
thoroughness is the foundation of greatness,1
joy is the pulse of life,1
altruism is the melody of life,1
tension is the residue of conflict,1
new horizons are born from bravery,1
consistency is the soil of success,1
delight is the fragrance of the soul,1
selflessness is the signature of greatness,1
fear is the chain of the spirit,1
valiant hearts pen the future,1
accuracy is the ladder to excellence,1
unbridled glee unites spirits,1
philanthropy is the beacon of hope,1
apprehension is the fog of the mind,1
boldness is the father of discovery,1
precision is the sibling of success,1
pure joy is the rhythm of existence,1
charity is the heart is true expression,1
distress is the language of the overwhelmed,1
adventurers are history is authors,1
exactness is success is blueprint,1
elation is life is true color,1
generosity is the soul is language,1
disquiet is the heart is heavy load,1
the bold paint the canvas of life,1
detail is success is cornerstone,1
ecstasy is the soul is melody,1
openhandedness is life is true wealth,1
unease is the echo of conflict,1
the courageous script the future,1
meticulousness is the key to mastery,1
bliss is the dance of existence,1
benevolence is the genuine voice of the heart,1
anxiety is the tempest of the soul,1
fearless souls are life is sculptors,1
exactitude is the artisan of the phenomenal,1
happiness is the eternal sun,1
kindness is the universal code,1
nervousness is the tremor of uncertainty,1
brave hearts are the architects of the new,1
perfectionism is the root of the extraordinary,1
contentment is the timeless song,1
compassion is the universal dialect,1
trepidation is the storm of the psyche,1
valorous spirits craft tomorrow,1
flawlessness is the womb of marvels,1
satisfaction is the infinite rhythm,1
empathy is the heart is lingua franca,1
jitters are the ripples of doubt,1
fearless minds shape the unknown,1
immaculateness births wonder,1
pleasure is the ceaseless tide,1
understanding is the heart is echo,1
fright is the soul is quake,1
dauntless ones are the pioneers of destiny,1
pristineness is the cradle of awe,1
joyfulness is the perpetual wave,1
tenderness is the soul is resonance,1
panic is the mind is maelstrom,1
the bold are the scribes of what is to come,1
spotlessness is the genesis of astonishment,1
merriment is the eternal current,1
gentleness is the echo of the soul,1
horror is the soul is vortex,1
courageous ones are the mapmakers of the future,1
impeccability is the source of wonder,1
cheer is the unending stream,1
caring is the soul is reflection,1
terror is the mind is tempest,1
the valiant are the cartographers of possibility,1
faultlessness is the fountain of amazement,1
revelry is the constant flow,1
nurturing is the reflection of the heart,1
dread is the psyche is whirlwind,1
brave explorers are the drafters of tomorrow,1
perfection is the wellspring of miracles,1
gaiety is the ceaseless river,1
affection is the mirror of the soul,1
fright is the heart is tornado,1
the audacious are the architects of dreams,1
infallibility is the origin of the sublime,1
joviality is the infinite ocean,1
kindheartedness is the soul is image,1
scare is the spirit is cyclone,1
courageous hearts are the composers of the new dawn,1
flawlessness is the birthplace of the divine,1
delight is the endless stream,1
compassionate actions are the reflection of the inner self,1
alarm is the soul is tempest,1
fearless spirits are the sculptors of new horizons,1
immaculateness is the cradle of the extraordinary,1
joy is the eternal fountain,1
warmheartedness is the true reflection of the soul,1
shock is the heart is storm,1
intrepid souls are the carvers of destiny,1
impeccability is the sanctuary of the unimaginable,1
bliss is the unceasing spring,1
charitableness is the inner self is true face,1
horror is the soul is tsunami,1
sleep trial version of death less commitment,1
life rule if your dog doesnt trust them neither should you,1
coffee because adulting is hard,1
why make enemies when you can make pizza,1
relationship status in a symbiotic relationship with my bed,1
just one more episode famous last words,1
lifes short eat the cake,1
decaf coffee is like a hairless cat weird and confusing,1
adulting realizing youre excited about a cancelled plan,1
fitness tip your body is a temple but also a fantastic amusement park,1
sarcasm because arguing with stupid people isnt worth your time,1
yoga how to contort your body while also staying zen,1
spotted my motivation trying to escape on a monday,1
reality check even my coffee needs coffee on mondays,1
plot twist i didnt choose the snack life the snack life chose me,1
life hack silence is golden duct tape is silver,1
warning i am not responsible for what my face does when you talk,1
breaking my bed is a magical place where i suddenly remember everything i forgot to do,1
confirmed im not lazy im on energysaving mode,1
life update currently holding it all together with one bobby pin,1
fitness reality i do marathons on netflix,1
pro tip no is a complete sentence,1
alert my favorite exercise is a cross between a lunge and a crunch i call it lunch,1
daily struggle im not arguing im just explaining why im right,1
fact im on a seafood diet i see food and i eat it,1
reminder you dont have to attend every argument youre invited to,1
newsflash i never make the same mistake twice i make it like five or six times you know just to be sure,1
reality im not an early bird or a night owl im some form of permanently exhausted pigeon,1
status currently experiencing life at the speed of wtfs per hour,1
truth i didnt fall the floor just needed a hug,1
current mood more issues than vogue,1
personal ad wanted someone to do my adulting for me serious inquiries only,1
checkmate im not arguing im just explaining why im right,1
fyi im not a hot mess im a spicy disaster,1
life plan eat like no ones watching or dance whatever,1
status update if i was meant to be controlled i would have come with a remote,1
secret sometimes i pretend to be normal but it gets boring so i go back to being me,1
observation im not really a control freak but can i show you the right way to do that,1
life lesson if you cant remember my name just say chocolate ill turn around,1
mantra im not stubborn my way is just better,1
adulting tip socks disappear in the wash because they reincarnate as extra tupperware lids,1
fitness motto i do a thing called what i want and its a great workout for my happiness,1
personal insight im not a shopaholic im helping the economy,1
career goal professional napper must be willing to work nights,1
love life update currently in a relationship with my netflix account,1
travel plan lets find some beautiful place to get lost like my bed,1
housekeeping note cleaning your house while your kids are still growing is like shoveling the sidewalk before it stops snowing,1
financial wisdom im great at multitasking i can waste time be unproductive and procrastinate all at once,1
selfcare tip treat yourself like a dog if you cant eat it or play with it pee on it and walk away,1
life philosophy im not lazy im on my energysaving mode,1
diet update i wont be impressed with technology until i can download food,1
style advice confidence is silent insecurities are loud and im somewhere in the middle with a megaphone,1
daily affirmation i am not weird i am a limited edition something you dont see that often,1
social update my weekend plans include making no plans,1
shopping logic if you cant stop thinking about itbuy it because life is short and you deserve it,1
fitness reality running late is my cardio,1
food for thought im just a girl standing in front of a salad asking it to be a donut,1
truth bomb i whisper what the heck to myself at least times a day,1
confession im one drink away from telling everyone what i really think,1
proclamation i hereby declare today annoy the heck out of your sibling day,1
life hack cant afford a trip around the world spin a globe point a finger dream,1
observation the most dangerous animal in the world is a silent smiling woman,1
mantra keep rolling your eyes maybe youll find a brain back there,1
announcement im not arguing im just explaining why im right,1
realization i didnt trip i did the floor a favor,1
declaration im not shy im holding back my awesomeness so i dont intimidate you,1
parenting tip never laugh at your partners choices youre one of them,1
fitness goal i wear all black when i work out its like a funeral for my fat,1
dating advice relationships are like a walk in the park jurassic park,1
selflove note im not fat god gave me airbags cause im precious,1
career insight im not bossy i have leadership skills,1
daily struggle why is patience a virtue why cant hurry the heck up be a virtue,1
personal revelation im not arguing im simply explaining why im right,1
observation i love the sound you make when you shut up,1
life hack if youre wrong and you shut up youre wise if youre right and you shut up youre married,1
motivational thought i dont rise from the ashes i make them im the whole fire,1
reality check im not a hot mess im a spicy disaster,1
personal motto im not a control freak i just know what you should be doing,1
style tip wear that smile like someone is always capturing you,1
daily goal today i will be as useless as the g in lasagna,1
